spec,loc,num,aspect_ratio,hue_mean,redness_purity,brightness_mean,brown_dominance,color_cov,red_intensity,red_coverage,eye_cloudiness,shine_coverage,shine_intensity,body_color_b,gill_score,eye_score,body_score,rule_score,rule_quality
BANG,PWM,13,0.3053607214428858,3.37,155.73,85.26,0.0585,0.1801,-0.0034,0.0,0.8168,0.1335,241.81,-0.5026,0.8,0.73,0.65,0.75,high
BANG,PWM,14,0.30889662027833004,12.7,122.45,84.7,0.8278,0.2172,0.0869,0.0,0.6744,0.1337,241.79,-1.2121,0.29,0.73,0.67,0.5,mid
BANG,PWM,15,0.31187872763419483,11.91,121.71,75.44,0.7245,0.2157,0.008,0.0,0.5086,0.081,241.28,-1.7852,0.3,0.87,0.54,0.52,mid
BANG,PWM,16,0.2665330661322645,6.24,144.09,70.31,0.2746,0.2525,0.101,0.0003,0.7746,0.1422,240.45,-2.0196,0.58,0.62,0.69,0.61,mid
BANG,PWM,17,0.2858233647238483,6.25,154.09,67.57,0.0305,0.2161,-0.0441,0.0,0.6973,0.0921,241.11,-2.2527,0.74,0.85,0.58,0.74,high
BANG,PWM,18,0.2859960552268245,6.66,147.35,89.23,0.1851,0.2298,-0.0765,0.0,0.817,0.1189,242.4,-1.4799,0.63,0.8,0.65,0.68,mid
BANG,PWM,19,0.2372549019607843,10.94,148.21,102.72,0.7477,0.2539,0.2477,0.0025,0.6873,0.1269,238.94,-2.1393,0.39,0.32,0.63,0.42,mid
BANG,PWM,20,0.23823451209784632,4.21,130.01,72.76,0.0394,0.2472,-0.0138,0.0,0.6646,0.1011,242.13,-0.9607,0.7,0.84,0.59,0.72,high
BANG,PWM,21,0.26856649395509496,8.41,169.17,79.45,0.3792,0.2024,0.0973,0.0,0.8175,0.1084,238.95,-2.5776,0.57,0.63,0.59,0.59,mid
BANG,PWM,22,0.31773464504121246,5.05,145.67,61.84,0.0348,0.1368,0.0042,0.0,0.9698,0.014,225.58,-0.6959,0.76,0.61,0.08,0.58,mid
BANG,PWM,23,0.2648865153538051,8.51,169.14,77.01,0.3415,0.1554,0.2291,0.0018,0.9968,0.0266,238.78,-8.1273,0.6,0.18,0.5,0.45,mid
